code;libelle;definition
NRA;NŒUD RACCORDEMENT D ABONNES;
NRAHD;NŒUD RACCORDEMENT D ABONNES - HAUT DEBIT;
NRAMED;NŒUD RACCORDEMENT D ABONNES - MONTEE EN DEBIT;
NRAZO;NŒUD RACCORDEMENT D ABONNES - ZONE D OMBRE;
SRP;SOUS-REPARTITEUR CUIVRE PRIMAIRE;
SRS;SOUS-REPARTITEUR CUIVRE SECONDAIRE;
SRT;SOUS-REPARTITEUR CUIVRE TERTIAIRE;
NRO;NŒUD RACCORDEMENT OPTIQUE;
SRO;SOUS-REPARTITEUR OPTIQUE;
BRASSAGE;SITE DE BRASSAGE;Site non prevu pour heberger des equipements actifs (surtout longue distance)"
CLIENT;SITE CLIENT;Site entreprise ou administration qui n est pas un site utilisateur final (SUF). "
HEBERG;SITE HEBERGEMENT;Site d hebergement d equipements actifs qui n est pas un NRO (hors architecture FTTH). "
